"zipcode","latitude","longitude"
"13068-010",-22.9071,-47.0632
"29101-782",-20.3501,-40.2857
"12211-000",-23.1703,-45.8918
"45570-000",-14.1352,-39.7351
"96010-000",-31.7711,-52.3431
"88801-440",-28.6783,-49.3704
"95250-000",-28.8517,-51.2767
"13419-155",-22.736,-47.6397
"88820-000",-28.7095,-49.3021
"52060-590",-8.03707,-34.9198
"05339-020",-23.5489,-46.6388
"21041-000",-22.8648,-43.253
"74280-210",-16.716,-49.2726
"74085-010",-16.7389,-49.2649
"13900-040",-22.7015,-46.7688
"36500-000",-21.1203,-42.948
"78700-170",-16.4664,-54.6329
"49400-000",-10.9145,-37.6639
"03526-060",-23.5501,-46.4978
"03889-000",-23.5489,-46.6388
"14840-000",-21.3607,-48.2282
"12327-682",-23.2986,-45.9679
"11600-000",-23.761,-45.4121
"68920-000",-0.832359,-52.4104
"35420-000",-20.3653,-43.2147
"87501-000",-23.7641,-53.3184
"99950-000",-28.0713,-52.0143
"02071-013",-23.5078,-46.5988
"99260-000",-28.5687,-51.9728
"05780-280",-23.5489,-46.6388
"87400-000",-23.7852,-53.0734
"93950-000",-29.5841,-51.0869
"07600-000",-23.3184,-46.5872
"13870-251",-21.9796,-46.7975
"15170-000",-20.6313,-49.6577
"05512-000",-23.5749,-46.707
"30640-130",-19.9775,-44.0195
"14940-000",-21.7583,-48.8284
"29900-045",-19.4041,-40.0648
"29146-201",-20.3409,-40.3829
"27123-020",-22.4705,-43.8268
"05512-000",-23.5931,-46.7341
"76801-240",-8.75809,-63.9035
"34000-000",-19.9821,-43.9442
"76803-768",-8.75093,-63.8961
"12515-690",-22.8073,-45.1913
"98360-000",-27.4742,-53.1706
"07760-000",-23.3358,-46.8401
"89190-000",-27.1161,-49.9982
"88240-970",-27.2766,-48.85
"13073-300",-22.8773,-47.0524
"30190-090",-19.9301,-43.9523
"13060-853",-22.939,-47.1075
"01405-002",-23.5687,-46.6585
"64980-000",-10.4418,-45.1645
"17250-000",-22.0743,-48.7402
"88860-000",-28.5989,-49.4254
"88868-000",-28.6604,-49.4711
"88850-000",-28.748,-49.4729
"99500-000",-28.2871,-52.7928
"80320-300",-25.4667,-49.2998
"80035-020",-25.4105,-49.2537
"13416-130",-22.7128,-47.6365
"12606-580",-22.7272,-45.1199
"89896-000",-22.7267,-47.3247
"48110-000",-12.3531,-38.3801
"14096-275",-21.2042,-47.7755
"14090-270",-21.1789,-47.7882
"13690-000",-21.904,-47.6199
"06401-000",-23.5063,-46.8756
"36420-000",-20.5123,-43.7153
"20240-020",-25.4457,-49.2832
"80730-080",-25.4359,-49.2981
"82300-000",-25.4155,-49.3506
"81530-000",-25.4513,-49.2297
"19814-371",-22.6607,-50.412
"36026-380",-21.7768,-43.3483
"36090-290",-21.6891,-43.4344
"32340-070",-19.9357,-44.0495
"88350-140",-27.0947,-48.9189
"05592-140",-23.5771,-46.7415
"89239-100",-26.2099,-48.9084
"16660-000",-22.2271,-49.9622
"22431-040",-22.9831,-43.2245
"88062-000",-27.6012,-48.473
"86990-000",-23.4855,-51.7927
"14620-000",-20.72,-47.888
"95760-000",-29.589,-51.3768
"03308-010",-23.5414,-46.5735
"13087-488",-22.8556,-47.0481
"15820-000",-21.0912,-48.6556
"69044-000",-3.07385,-60.0271
"88780-000",-28.2405,-48.6703
"51170-000",-8.08816,-34.908
"76630-000",-16.0084,-49.7962
"06600-010",-23.5303,-46.903
"83420-000",-23.5316,-51.4367
"09820-000",-23.7425,-46.5567
"71503-505",-15.7406,-47.8564
"06501-070",-23.4467,-46.919
"37130-000",-21.4329,-45.9496
"41640-280",-12.9343,-38.3712
"13026-125",-22.9096,-47.0449
"09321-375",-23.6481,-46.4379
"59092-100",-5.87278,-35.1809
"35650-000",-19.6912,-44.8965
"35300-036",-19.7904,-42.1393
"15300-000",-20.6417,-50.3616
"74935-851",-16.7664,-49.2917
"72880-000",-16.1144,-47.9372
"17400-000",-22.2127,-49.6604
"95630-000",-29.6307,-50.8257
"37400-000",-18.9542,-49.4648
"06730-000",-23.6055,-47.0262
"38400-124",-18.9193,-48.2803
"74223-070",-16.7129,-49.2478
"13087-901",-22.9071,-47.0632
"62960-000",-5.25429,-38.1247
"87900-000",-22.9233,-53.1364
"80030-190",-25.4169,-49.2647
"39270-000",-17.3441,-44.9409
"13472-130",-22.7311,-47.317
"88070-605",-27.5871,-48.5794
"13045-710",-22.9305,-47.0359
"05204-000",-23.4071,-46.7586
