"code","latitude","longitude"
22664,-22.5813,-47.5198
22666,-28.3287,-49.1811
22667,-23.2023,-50.7944
22668,-27.0258,-48.6549
22669,-29.8913,-50.273
22673,-26.5111,-49.1149
22680,-25.4489,-54.4071
22681,-23.5509,-46.7491
22696,-23.7444,-46.3928
22702,-18.9204,-54.8437
22703,-29.1696,-51.5075
22712,-26.6326,-48.6852
22713,-20.8147,-49.367
22717,-20.4565,-54.6353
22741,-22.8665,-43.7772
22742,-23.6174,-46.5678
22749,-29.2322,-51.8834
22771,-22.9204,-43.2505
22772,-22.966,-43.2177
22789,-16.7129,-49.2478
22794,-15.7933,-47.8495
22797,-18.6608,-48.1888
22808,-24.0924,-46.6213
22810,-25.4295,-49.2649
22811,-27.592,-48.5171
22814,-23.4593,-52.0465
22817,-20.5123,-43.7153
22819,-22.3587,-47.3841
22827,-23.5489,-46.6388
22834,-32.0361,-52.1077
22839,-28.7178,-51.9342
22848,-30.0379,-51.2107
22854,-22.9077,-49.6176
22862,-22.1183,-43.2095
22873,-9.66228,-35.7009
22874,-10.92,-37.0533
22875,-9.65937,-35.7327
22881,-17.2223,-46.8752
22882,-27.6301,-54.3072
22885,-22.2978,-44.9267
22888,-20.3539,-40.3537
22900,-21.7609,-43.3516
22902,-3.74717,-38.4968
22920,-10.6859,-37.4247
22921,-10.9292,-37.0488
22970,-12.9907,-38.4863
22975,-24.25,-51.6805
22976,-21.4064,-48.5055
22979,-16.7369,-43.8652
22983,-23.3164,-46.2236
22984,-21.661,-45.925
22992,-14.8623,-40.8222
22999,-23.5357,-46.5259
23004,-25.5874,-49.405
23017,-25.9888,-52.5542
23018,-22.9096,-47.0577
23030,-23.2597,-51.1546
23031,-19.7502,-47.9325
23042,-19.9321,-43.9597
23051,-19.9264,-43.9406
23127,-19.5127,-41.0123
23135,-19.8601,-44.6077
23150,-25.3974,-49.234
23203,-24.0276,-46.4844
23220,-30.0255,-51.1633
23223,-19.8814,-43.999
23224,-5.19108,-37.3439
23227,-20.8178,-49.393
23228,-21.2101,-50.4381
23229,-26.8831,-52.4
23233,-6.88634,-38.5614
23234,-6.76761,-38.2278
23235,-12.2624,-38.9657
23236,-29.3674,-50.813
23237,-22.1086,-50.1743
23296,-22.2582,-45.9301
23395,-22.8549,-46.3199
23401,-23.4112,-51.9395
23403,-23.4228,-51.9345
23423,-21.5384,-49.8577
23424,-3.10641,-60.0264
23432,-20.6667,-40.5
23435,-23.3965,-46.3214
23437,-18.4891,-54.7537
23464,-22.9022,-47.2376
23467,-21.1944,-49.2952
23474,-8.04965,-34.9086
23512,-19.8584,-43.9639
23547,-23.2801,-46.7433
23551,-11.7242,-61.7597
23552,-23.3228,-46.725
23555,-24.1571,-54.1004
23583,-31.3285,-54.1073
23598,-7.23072,-35.8817
